titulo,duracion,artista_tipo,artista_nombre,artista_apellido,artista_pais,artista_inicio,letra,album,genero,reproducciones
Prueba,2.1,Solista,Taylor,Swift,EEUU,2006,,Prueba,Pop,5
tv off,3.0,Solista,Kendrick,Lamar,Estados Unidos,2000-05-12,,Op,Jazz,9
Canción 1,2.74,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Reggaeton,3727
Canción 2,3.07,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Reggaeton,4611
Canción 3,3.96,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum C,Indie,1347
Canción 4,3.24,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Electrónica,4961
Canción 5,2.67,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Indie,356
Canción 6,2.56,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Electrónica,977
Canción 7,3.84,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Rock,3682
Canción 8,2.33,Solista,Skrillex,n/a,Estados Unidos,2000-12-24,Letra de prueba,Álbum C,Rock,1242
Canción 9,4.3,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Indie,4574
Canción 10,2.56,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Electrónica,1866
Canción 11,3.12,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Pop,3209
Canción 12,3.31,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Rock,2678
Canción 13,2.82,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Rock,4869
Canción 14,4.49,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Rock,1464
Canción 15,3.43,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Indie,3669
Canción 16,4.66,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum C,Rock,3519
Canción 17,3.87,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Electrónica,2715
Canción 18,3.14,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum C,Pop,449
Canción 19,3.29,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Rock,1164
Canción 20,2.05,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Electrónica,3799
Canción 21,2.16,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Rock,1129
Canción 22,3.82,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Indie,2173
Canción 23,3.97,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum B,Indie,2496
Canción 24,2.93,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Rock,3891
Canción 25,2.39,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum B,Reggaeton,3060
Canción 26,4.25,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Rock,4686
Canción 27,2.61,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Reggaeton,4191
Canción 28,4.26,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Rock,3026
Canción 29,3.56,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Rock,2697
Canción 30,4.52,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Electrónica,2137
Canción 31,3.91,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Pop,1497
Canción 32,4.81,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Indie,548
Canción 33,3.5,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Reggaeton,4211
Canción 34,4.6,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Electrónica,3008
Canción 35,2.39,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Electrónica,2700
Canción 36,4.54,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Electrónica,3974
Canción 37,3.92,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Pop,500
Canción 38,3.58,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Reggaeton,4950
Canción 39,4.35,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Rock,3502
Canción 40,4.03,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Rock,4669
Canción 41,3.0,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Electrónica,284
Canción 42,2.58,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Electrónica,4973
Canción 43,2.89,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Electrónica,3120
Canción 44,2.97,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum B,Pop,4558
Canción 45,3.35,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Indie,2830
Canción 46,4.72,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Rock,2682
Canción 47,4.67,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Rock,563
Canción 48,4.79,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Pop,1636
Canción 49,3.88,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Rock,1734
Canción 50,4.5,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Electrónica,3811
Canción 51,4.25,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Rock,4666
Canción 52,3.74,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Reggaeton,2408
Canción 53,3.55,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Indie,2844
Canción 54,3.97,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Indie,4208
Canción 55,4.78,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum B,Reggaeton,3634
Canción 56,4.67,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Rock,4906
Canción 57,3.23,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Indie,327
Canción 58,3.94,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum C,Indie,690
Canción 59,4.72,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Pop,2668
Canción 60,2.26,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum C,Rock,880
Canción 61,4.77,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Reggaeton,4161
Canción 62,4.34,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Indie,3859
Canción 63,4.97,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Indie,3961
Canción 64,3.52,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Electrónica,1732
Canción 65,4.22,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Reggaeton,230
Canción 66,2.35,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Indie,2526
Canción 67,4.12,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Reggaeton,1754
Canción 68,2.58,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Electrónica,3106
Canción 69,3.1,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Indie,4801
Canción 70,3.33,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Indie,1664
Canción 71,3.27,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Electrónica,3143
Canción 72,4.78,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Electrónica,4995
Canción 73,2.83,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Reggaeton,1293
Canción 74,4.89,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Indie,2294
Canción 75,2.23,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Pop,4249
Canción 76,3.55,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Indie,239
Canción 77,4.49,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Indie,4016
Canción 78,2.78,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Reggaeton,2422
Canción 79,3.53,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Indie,4709
Canción 80,2.03,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Indie,3205
Canción 81,3.54,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Rock,2274
Canción 82,3.71,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Indie,1166
Canción 83,2.98,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Reggaeton,3860
Canción 84,4.58,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Electrónica,3424
Canción 85,3.88,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Electrónica,1345
Canción 86,3.91,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Pop,402
Canción 87,4.18,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Pop,81
Canción 88,4.65,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Rock,1271
Canción 89,3.39,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Indie,701
Canción 90,4.12,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Reggaeton,3844
Canción 91,4.92,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Pop,1898
Canción 92,4.11,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Rock,2834
Canción 93,4.63,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum C,Indie,4596
Canción 94,2.57,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Pop,638
Canción 95,3.92,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Electrónica,1691
Canción 96,3.6,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum C,Rock,73
Canción 97,3.99,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Electrónica,4256
Canción 98,3.79,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Reggaeton,978
Canción 99,2.55,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Reggaeton,1368
Canción 100,4.0,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Rock,4171
Canción 101,3.46,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Pop,3138
Canción 102,2.07,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Indie,474
Canción 103,4.25,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Electrónica,2139
Canción 104,2.39,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Indie,2232
Canción 105,3.41,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Indie,1581
Canción 106,3.37,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Reggaeton,4248
Canción 107,2.72,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum C,Rock,690
Canción 108,4.0,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Reggaeton,3338
Canción 109,4.59,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Reggaeton,521
Canción 110,2.99,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Electrónica,2282
Canción 111,4.87,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Indie,2797
Canción 112,4.95,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Pop,4650
Canción 113,4.49,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Electrónica,4050
Canción 114,2.94,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum B,Electrónica,299
Canción 115,2.3,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum C,Indie,1901
Canción 116,3.71,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Electrónica,2735
Canción 117,4.93,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Indie,2130
Canción 118,2.56,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Reggaeton,4470
Canción 119,3.61,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Rock,837
Canción 120,4.57,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Electrónica,1971
Canción 121,2.63,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Pop,1061
Canción 122,3.2,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Electrónica,4944
Canción 123,4.99,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Electrónica,2522
Canción 124,3.16,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Electrónica,1018
Canción 125,3.22,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Indie,792
Canción 126,3.27,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Reggaeton,3089
Canción 127,4.45,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Pop,662
Canción 128,2.0,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Reggaeton,3439
Canción 129,3.36,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Electrónica,1337
Canción 130,4.13,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Indie,521
Canción 131,3.93,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Reggaeton,2416
Canción 132,3.32,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Indie,1079
Canción 133,2.21,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Electrónica,701
Canción 134,3.51,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Rock,3049
Canción 135,4.49,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum C,Reggaeton,432
Canción 136,3.3,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Electrónica,1084
Canción 137,4.04,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum A,Indie,3555
Canción 138,3.81,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Electrónica,2931
Canción 139,3.91,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum B,Indie,4018
Canción 140,3.7,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Indie,3307
Canción 141,3.44,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Reggaeton,3367
Canción 142,2.01,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum B,Rock,1540
Canción 143,2.58,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Rock,3868
Canción 144,4.78,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Reggaeton,2726
Canción 145,4.54,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Pop,4587
Canción 146,2.43,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Rock,4371
Canción 147,4.55,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Rock,3837
Canción 148,2.79,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Electrónica,2664
Canción 149,3.0,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum C,Indie,3044
Canción 150,3.43,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Rock,524
Canción 151,3.79,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Electrónica,1212
Canción 152,2.67,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Electrónica,3904
Canción 153,3.89,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum C,Electrónica,3196
Canción 154,2.73,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Indie,1765
Canción 155,2.45,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Reggaeton,3322
Canción 156,4.08,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Reggaeton,353
Canción 157,3.55,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Rock,4422
Canción 158,4.23,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Rock,1280
Canción 159,2.79,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Pop,348
Canción 160,4.87,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Electrónica,4454
Canción 161,4.69,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum C,Rock,2740
Canción 162,4.95,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Electrónica,3974
Canción 163,2.79,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum C,Reggaeton,4488
Canción 164,3.45,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Reggaeton,2713
Canción 165,4.61,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum B,Rock,2452
Canción 166,3.43,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Indie,134
Canción 167,2.62,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Reggaeton,3763
Canción 168,2.91,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum B,Rock,2008
Canción 169,2.09,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum B,Pop,1334
Canción 170,4.54,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Reggaeton,2582
Canción 171,3.76,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Reggaeton,4781
Canción 172,3.23,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Indie,9
Canción 173,3.16,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Rock,4552
Canción 174,3.75,Banda,Coldplay,,Reino Unido,1996,Letra de prueba,Álbum C,Reggaeton,4048
Canción 175,2.02,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum C,Pop,4852
Canción 176,2.2,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum C,Reggaeton,1344
Canción 177,2.27,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Rock,4634
Canción 178,4.41,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Pop,828
Canción 179,2.11,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum C,Electrónica,2777
Canción 180,2.43,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum C,Electrónica,4792
Canción 181,3.09,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Pop,3544
Canción 182,3.83,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Rock,2438
Canción 183,4.7,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Electrónica,3037
Canción 184,2.51,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Rock,1789
Canción 185,3.41,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum C,Rock,3812
Canción 186,2.8,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum C,Electrónica,21
Canción 187,3.95,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Electrónica,4531
Canción 188,2.55,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum C,Pop,4956
Canción 189,3.75,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum B,Rock,1992
Canción 190,2.29,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum A,Indie,3524
Canción 191,3.83,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Pop,261
Canción 192,4.05,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Reggaeton,40
Canción 193,4.26,Solista,Taylor,Swift,EEUU,2006,Letra de prueba,Álbum B,Rock,2538
Canción 194,3.37,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum A,Electrónica,3582
Canción 195,4.29,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Pop,1842
Canción 196,3.22,Solista,Dua,Lipa,Reino Unido,2015,Letra de prueba,Álbum A,Rock,1514
Canción 197,3.62,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum A,Reggaeton,4574
Canción 198,2.75,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum C,Reggaeton,4519
Canción 199,3.38,Solista,Bad,Bunny,Puerto Rico,2018,Letra de prueba,Álbum C,Electrónica,2266
Canción 200,4.39,Banda,Imagine Dragons,,EEUU,2008,Letra de prueba,Álbum B,Rock,3888
